timestamp,filename,cam,local_uid,master_id,x1,y1,x2,y2,event
2026-01-30 16:45:37.300,164537_300.jpg,USB_LOCAL,USB_LOCAL_001,20260130_164532_908,454,700,635,969,MATCHED
2026-01-30 16:45:37.549,164537_549.jpg,USB_LOCAL,USB_LOCAL_001,20260130_164532_908,446,624,606,854,TRACKING
2026-01-30 16:45:37.799,164537_799.jpg,USB_LOCAL,USB_LOCAL_001,20260130_164532_908,441,581,591,800,TRACKING
2026-01-30 16:45:38.049,164538_049.jpg,USB_LOCAL,USB_LOCAL_001,20260130_164532_908,435,575,568,729,TRACKING
2026-01-30 16:45:39.304,164539_304.jpg,USB_LOCAL,USB_LOCAL_002,20260130_164534_788,352,647,655,1023,MATCHED
2026-01-30 16:45:39.551,164539_551.jpg,USB_LOCAL,USB_LOCAL_002,20260130_164534_788,350,578,617,914,TRACKING
2026-01-30 16:45:39.800,164539_800.jpg,USB_LOCAL,USB_LOCAL_002,20260130_164534_788,347,534,598,849,TRACKING
2026-01-30 16:45:41.551,164541_551.jpg,USB_LOCAL,USB_LOCAL_003,20260130_164536_916,363,631,592,935,MATCHED
2026-01-30 16:45:41.801,164541_801.jpg,USB_LOCAL,USB_LOCAL_003,20260130_164536_916,362,588,579,870,TRACKING
2026-01-30 16:45:42.055,164542_055.jpg,USB_LOCAL,USB_LOCAL_003,20260130_164536_916,358,529,557,780,TRACKING
2026-01-30 16:45:42.553,164542_553.jpg,USB_LOCAL,USB_LOCAL_004,20260130_164538_311,399,747,540,914,MATCHED
2026-01-30 16:45:42.799,164542_799.jpg,USB_LOCAL,USB_LOCAL_004,20260130_164538_311,395,691,527,844,TRACKING
2026-01-30 16:45:43.052,164543_052.jpg,USB_LOCAL,USB_LOCAL_004,20260130_164538_311,391,617,511,758,TRACKING
2026-01-30 16:45:43.802,164543_802.jpg,USB_LOCAL,USB_LOCAL_005,20260130_164539_412,346,749,542,909,MATCHED
2026-01-30 16:45:44.055,164544_055.jpg,USB_LOCAL,USB_LOCAL_005,20260130_164539_412,345,674,527,810,TRACKING
2026-01-30 16:45:44.302,164544_302.jpg,USB_LOCAL,USB_LOCAL_005,20260130_164539_412,345,629,516,756,TRACKING
2026-01-30 16:45:44.803,164544_803.jpg,USB_LOCAL,USB_LOCAL_006,20260130_164540_340,378,735,577,911,MATCHED
2026-01-30 16:45:45.054,164545_054.jpg,USB_LOCAL,USB_LOCAL_006,20260130_164540_340,375,646,558,813,TRACKING
2026-01-30 16:45:45.308,164545_308.jpg,USB_LOCAL,USB_LOCAL_006,20260130_164540_340,372,614,545,758,TRACKING
2026-01-30 16:45:45.807,164545_807.jpg,USB_LOCAL,USB_LOCAL_007,20260130_164541_476,364,765,554,905,MATCHED
2026-01-30 16:45:46.054,164546_054.jpg,USB_LOCAL,USB_LOCAL_007,20260130_164541_476,362,687,534,808,TRACKING
